Administrative,Administrative_Duration,Informational,Informational_Duration,ProductRelated,ProductRelated_Duration,BounceRates,ExitRates,PageValues,SpecialDay,Month,OperatingSystems,Browser,Region,TrafficType,VisitorType,Weekend,Revenue,Total_Pages,Total_Duration,Engagement_Score,Product_Ratio,Avg_Time_Per_Page,Is_Returning
0,0.0,0,0.0,10,627.5,0.02,0.05,0.0,0.0,Feb,3,3,1,4,Returning_Visitor,True,False,10,627.5,10,1.0,62.75,1
0,0.0,0,0.0,19,154.2166667,0.015789474,0.024561404,0.0,0.0,Feb,2,2,1,3,Returning_Visitor,False,False,19,154.2166667,19,1.0,8.116666668421052,1
0,0.0,0,0.0,3,738.0,0.0,0.022222222,0.0,0.4,Feb,2,4,1,2,Returning_Visitor,False,False,3,738.0,3,1.0,246.0,1
0,0.0,0,0.0,3,395.0,0.0,0.066666667,0.0,0.0,Feb,1,1,3,3,Returning_Visitor,False,False,3,395.0,3,1.0,131.66666666666666,1
0,0.0,0,0.0,16,407.75,0.01875,0.025833333,0.0,0.4,Feb,1,1,4,3,Returning_Visitor,False,False,16,407.75,16,1.0,25.484375,1
0,0.0,0,0.0,7,280.5,0.0,0.028571429,0.0,0.0,Feb,1,1,1,3,Returning_Visitor,False,False,7,280.5,7,1.0,40.07142857142857,1
0,0.0,0,0.0,6,98.0,0.0,0.066666667,0.0,0.0,Feb,2,5,1,3,Returning_Visitor,False,False,6,98.0,6,1.0,16.333333333333332,1
2,53.0,0,0.0,23,1668.285119,0.008333333,0.016312636,0.0,0.0,Feb,1,1,9,3,Returning_Visitor,False,False,25,1721.285119,25,0.92,68.85140476,1
0,0.0,0,0.0,13,334.9666667,0.0,0.007692308,0.0,0.0,Feb,1,1,1,4,Returning_Visitor,True,False,13,334.9666667,13,1.0,25.76666666923077,1
0,0.0,0,0.0,8,136.1666667,0.0,0.008333333,0.0,1.0,Feb,2,2,5,1,Returning_Visitor,True,False,8,136.1666667,8,1.0,17.0208333375,1
0,0.0,0,0.0,3,105.0,0.0,0.033333333,0.0,0.0,Feb,3,2,1,5,Returning_Visitor,False,False,3,105.0,3,1.0,35.0,1
0,0.0,0,0.0,5,156.0,0.0,0.04,0.0,0.0,Feb,1,1,9,3,Returning_Visitor,False,False,5,156.0,5,1.0,31.2,1
4,64.6,0,0.0,32,1135.444444,0.002857143,0.00952381,0.0,0.0,Feb,2,2,1,3,Returning_Visitor,False,False,36,1200.0444439999999,36,0.8888888888888888,33.334567888888884,1
0,0.0,0,0.0,4,63.0,0.0,0.05,0.0,0.2,Feb,2,6,1,3,Returning_Visitor,False,False,4,63.0,4,1.0,15.75,1
0,0.0,0,0.0,3,78.0,0.0,0.066666667,0.0,0.0,Feb,1,2,6,6,Returning_Visitor,True,False,3,78.0,3,1.0,26.0,1
0,0.0,0,0.0,8,209.5,0.0,0.025,0.0,0.0,Feb,2,2,1,1,Returning_Visitor,False,False,8,209.5,8,1.0,26.1875,1
0,0.0,0,0.0,10,183.6666667,0.04,0.08,0.0,0.0,Feb,1,1,3,1,Returning_Visitor,False,False,10,183.6666667,10,1.0,18.36666667,1
0,0.0,0,0.0,14,380.5,0.014285714,0.028571429,0.0,0.0,Feb,2,2,1,1,Returning_Visitor,False,False,14,380.5,14,1.0,27.178571428571427,1
0,0.0,0,0.0,8,388.0,0.025,0.05625,0.0,0.0,Feb,3,2,1,4,Returning_Visitor,True,False,8,388.0,8,1.0,48.5,1
2,18.0,0,0.0,5,298.0,0.0,0.028571429,0.0,0.8,Feb,2,2,8,4,Returning_Visitor,False,False,7,316.0,7,0.7142857142857143,45.142857142857146,1
0,0.0,0,0.0,7,63.0,0.028571429,0.071428571,0.0,0.6,Feb,2,2,1,3,Returning_Visitor,False,False,7,63.0,7,1.0,9.0,1
0,0.0,0,0.0,9,482.0,0.0,0.022222222,0.0,0.0,Feb,2,5,1,6,Returning_Visitor,False,False,9,482.0,9,1.0,53.55555555555556,1
0,0.0,0,0.0,3,22.0,0.0,0.066666667,0.0,0.6,Feb,1,1,3,2,Returning_Visitor,False,False,3,22.0,3,1.0,7.333333333333333,1
0,0.0,0,0.0,15,310.1666667,0.0,0.006666667,0.0,0.0,Feb,1,1,4,4,Returning_Visitor,False,False,15,310.1666667,15,1.0,20.67777778,1
0,0.0,0,0.0,2,34.0,0.0,0.05,0.0,0.4,Feb,3,2,2,3,Returning_Visitor,False,False,2,34.0,2,1.0,17.0,1
0,0.0,0,0.0,4,88.0,0.0,0.05,0.0,0.0,Feb,4,1,1,3,Returning_Visitor,False,False,4,88.0,4,1.0,22.0,1
0,0.0,0,0.0,22,622.25,0.003030303,0.006060606,0.0,0.2,Feb,2,5,1,4,Returning_Visitor,False,False,22,622.25,22,1.0,28.28409090909091,1
0,0.0,0,0.0,14,222.4,0.017142857,0.057142857,0.0,0.0,Feb,1,1,1,2,Returning_Visitor,False,False,14,222.4,14,1.0,15.885714285714286,1
0,0.0,0,0.0,11,800.8333333,0.0,0.003636364,0.0,0.0,Feb,3,2,1,3,Returning_Visitor,False,False,11,800.8333333,11,1.0,72.8030303,1
0,0.0,0,0.0,12,265.1666667,0.011111111,0.026111111,0.0,0.2,Feb,3,2,1,3,Returning_Visitor,False,False,12,265.1666667,12,1.0,22.097222225,1
0,0.0,0,0.0,4,160.0,0.0,0.075,0.0,0.0,Feb,4,2,2,3,Returning_Visitor,False,False,4,160.0,4,1.0,40.0,1
0,0.0,0,0.0,4,104.0,0.0,0.05,0.0,0.4,Feb,2,6,6,3,Returning_Visitor,False,False,4,104.0,4,1.0,26.0,1
2,16.0,0,0.0,16,381.6865079,0.011764706,0.046568627,0.0,0.6,Feb,2,4,2,1,Returning_Visitor,False,False,18,397.6865079,18,0.8888888888888888,22.09369488333333,1
0,0.0,0,0.0,6,169.0,0.0,0.016666667,0.0,0.4,Feb,1,1,3,3,Returning_Visitor,False,False,6,169.0,6,1.0,28.166666666666668,1
0,0.0,0,0.0,14,706.5,0.0,0.007142857,0.0,0.0,Feb,2,2,5,4,Returning_Visitor,True,False,14,706.5,14,1.0,50.464285714285715,1
0,0.0,0,0.0,18,902.0,0.0,0.007407407,0.0,0.0,Feb,2,7,2,4,Returning_Visitor,False,False,18,902.0,18,1.0,50.111111111111114,1
0,0.0,0,0.0,20,197.3777778,0.025,0.0525,0.0,0.0,Feb,2,6,6,1,Returning_Visitor,False,False,20,197.3777778,20,1.0,9.86888889,1
0,0.0,0,0.0,8,426.6666667,0.0,0.0125,0.0,0.0,Feb,2,4,3,2,Returning_Visitor,False,False,8,426.6666667,8,1.0,53.3333333375,1
0,0.0,0,0.0,3,135.0,0.0,0.066666667,0.0,0.0,Feb,2,4,3,3,Returning_Visitor,False,False,3,135.0,3,1.0,45.0,1
0,0.0,0,0.0,16,588.3333333,0.0,0.025,0.0,0.0,Feb,2,4,1,1,Returning_Visitor,False,False,16,588.3333333,16,1.0,36.77083333125,1
0,0.0,0,0.0,2,76.0,0.0,0.05,0.0,0.6,Feb,3,2,3,3,Returning_Visitor,False,False,2,76.0,2,1.0,38.0,1
0,0.0,0,0.0,7,208.0,0.0,0.028571429,0.0,0.0,Feb,4,1,1,5,Returning_Visitor,True,False,7,208.0,7,1.0,29.714285714285715,1
0,0.0,0,0.0,4,270.0,0.0,0.016666667,0.0,0.8,Feb,1,1,1,3,Returning_Visitor,False,False,4,270.0,4,1.0,67.5,1
0,0.0,0,0.0,6,39.5,0.0,0.02,0.0,0.0,Feb,2,2,1,3,Returning_Visitor,False,False,6,39.5,6,1.0,6.583333333333333,1
0,0.0,0,0.0,12,375.0,0.016666667,0.058333333,0.0,0.0,Feb,3,2,4,1,Returning_Visitor,False,False,12,375.0,12,1.0,31.25,1
0,0.0,0,0.0,3,138.0,0.0,0.066666667,0.0,0.0,Feb,1,1,1,3,Returning_Visitor,False,False,3,138.0,3,1.0,46.0,1
0,0.0,0,0.0,7,337.5,0.028571429,0.023809524,0.0,0.4,Feb,4,1,3,3,Returning_Visitor,False,False,7,337.5,7,1.0,48.214285714285715,1
0,0.0,0,0.0,19,620.0333333,0.0,0.007894737,0.0,0.0,Feb,1,1,4,2,Returning_Visitor,False,False,19,620.0333333,19,1.0,32.633333331578946,1
2,36.0,0,0.0,15,168.8461538,0.0,0.011764706,0.0,0.4,Feb,1,1,1,3,Returning_Visitor,False,False,17,204.8461538,17,0.8823529411764706,12.049773752941176,1
0,0.0,0,0.0,13,649.25,0.0,0.015384615,0.0,0.0,Feb,2,2,1,5,New_Visitor,False,False,13,649.25,13,1.0,49.94230769230769,0
0,0.0,0,0.0,27,925.3333333,0.003703704,0.025925926,0.0,0.6,Feb,4,1,3,3,Returning_Visitor,False,False,27,925.3333333,27,1.0,34.27160493703704,1
